text,label
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #187.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #58.,normal
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #59.,atencao
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #207.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #90.,urgente
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #118.,normal
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #281.,atencao
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #57.,urgente
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #121.,normal
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #216.,urgente
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #98.,atencao
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #28.,normal
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #41.,atencao
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #263.,atencao
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #200.,atencao
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #172.,normal
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #188.,atencao
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #234.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #189.,urgente
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #7.,normal
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #106.,normal
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #46.,normal
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #229.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #61.,normal
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #40.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #192.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #159.,urgente
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #293.,atencao
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #223.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #91.,normal
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #27.,urgente
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #171.,urgente
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #64.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #175.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #264.,urgente
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #92.,atencao
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #208.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #204.,urgente
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #94.,normal
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #79.,normal
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #11.,atencao
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #33.,urgente
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #111.,urgente
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #280.,normal
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #226.,normal
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #150.,urgente
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #95.,atencao
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #214.,normal
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #10.,normal
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #258.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #39.,urgente
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #177.,urgente
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #20.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #29.,atencao
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #3.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #144.,urgente
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #278.,atencao
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #181.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #142.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #114.,urgente
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #271.,normal
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #299.,atencao
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #249.,urgente
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #164.,atencao
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #34.,normal
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #198.,urgente
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #86.,atencao
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #1.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #12.,urgente
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #71.,atencao
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #213.,urgente
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #109.,normal
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #251.,atencao
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #24.,urgente
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #14.,atencao
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #217.,normal
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #233.,atencao
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #232.,normal
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #65.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #272.,atencao
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #130.,normal
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #275.,atencao
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #219.,urgente
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #163.,normal
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #176.,atencao
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #53.,atencao
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #88.,normal
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #184.,normal
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #108.,urgente
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #145.,normal
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #140.,atencao
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #80.,atencao
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #55.,normal
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #60.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #279.,urgente
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #69.,urgente
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #54.,urgente
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #287.,atencao
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #283.,normal
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #155.,atencao
Quadro compatível com AVC em janela terapêutica. Urgente. Caso #225.,urgente
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #81.,urgente
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #146.,atencao
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #190.,normal
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #126.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #36.,urgente
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #179.,atencao
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #288.,urgente
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #297.,urgente
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #260.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #110.,atencao
Paciente com dor torácica intensa e suspeita de infarto. Encaminhar à emergência. Caso #276.,urgente
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #284.,atencao
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #52.,normal
Imagem sem evidência de lesão aguda. Controle de rotina. Caso #286.,normal
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #5.,atencao
Quadro de febre baixa e dor moderada. Reavaliar em 48 horas. Caso #38.,atencao
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #295.,normal
Achados compatíveis com a faixa etária. Nenhuma anormalidade detectada. Caso #235.,normal
Exame dentro dos limites da normalidade. Sem alterações significativas. Caso #154.,normal
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #68.,atencao
Alteração leve detectada. Manter observação clínica e retorno em breve. Caso #203.,atencao
Resultados laboratoriais dentro da referência. Evolução favorável. Caso #136.,normal
Insuficiência respiratória aguda. Internação imediata recomendada. Caso #123.,urgente
Suspeita de processo inflamatório. Indica-se acompanhamento. Caso #161.,atencao
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #105.,urgente
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #134.,atencao
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #162.,urgente
Laudo sem alterações relevantes. Paciente estável e assintomático. Caso #268.,normal
Achados inespecíficos; recomenda-se reavaliar e acompanhar evolução. Caso #290.,atencao
Resultado indefinido. Necessário correlacionar com clínica do paciente. Caso #215.,atencao
Trauma grave com risco de parada. Acionar protocolo de emergência. Caso #42.,urgente
Sinais de hemorragia ativa e choque. Prioridade máxima de atendimento. Caso #21.,urgente
